original_lon,original_lat,distance,formatted,latitude,longitude,name,housenumber,street,district,suburb,postcode,county_code,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
-115.15441730618477,36.143928881351044,0.18093429141896047,"Starbucks, East Sahara Avenue, Las Vegas, NV 89104-2530, United States of America",36.143928,-115.154419,Starbucks,,East Sahara Avenue,,Beverly Green,89104-2530,,Las Vegas,Clark County,Nevada,NV,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-116.20429158210753,43.62090264356586,0,"Subway, West State Street, Boise, ID 83701, United States of America",43.62089435,-116.20429924489127,Subway,,West State Street,,North End,83701,,Boise,Ada County,Idaho,ID,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-112.07098837941885,33.449511105551245,0,"Phoenix Convention Center, 208 East Monroe Street, Phoenix, AZ 85004-1905, United States of America",33.4502494,-112.0707456,Phoenix Convention Center,208,East Monroe Street,,,85004-1905,,Phoenix,Maricopa County,Arizona,AZ,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-105.00470101833344,39.73964574105882,0,"1350 West Colfax Avenue, Denver, CO 80204, United States of America",39.7396507,-105.00463744991978,,1350,West Colfax Avenue,,Lincoln Park,80204,,Denver,,Colorado,CO,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-104.81698125600815,41.13800308053429,0,"Starbucks, 2111 Central Avenue, Cheyenne, WY 82001, United States of America",41.138002549999996,-104.8169807,Starbucks,2111,Central Avenue,,,82001,,Cheyenne,Laramie County,Wyoming,WY,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-100.7821174710989,46.805053397185425,0,"McDonald's, 605 East Main Avenue, Bismarck, ND 58501, United States of America",46.805076400000004,-100.78211582218064,McDonald's,605,East Main Avenue,,,58501,,Bismarck,Burleigh County,North Dakota,ND,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-105.93986693769692,35.687269944942116,0,"Laughlin Building, 106 West San Francisco Street, Santa Fe, NM 87501, United States of America",35.6872698,-105.9398685,Laughlin Building,106,West San Francisco Street,,,87501,,Santa Fe,Santa Fe County,New Mexico,NM,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-96.80038288235663,32.78475351529697,0,"Starbucks, North Ervay Street, Dallas, TX 75201, United States of America",32.784760399999996,-96.80037690063358,Starbucks,,North Ervay Street,,West End Historic District,75201,,Dallas,Dallas County,Texas,TX,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-97.51569449901581,35.467846632880196,0,"Main Street Parking Garage, 119 West Main Street, Oklahoma City, OK 73102, United States of America",35.46802975,-97.5155698921873,Main Street Parking Garage,119,West Main Street,,Central Business District,73102,,Oklahoma City,Oklahoma County,Oklahoma,OK,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-94.69098675996065,38.97178064850834,0,"Pizza Hut, West 87th Street, Overland Park, KS 66212, United States of America",38.971794,-94.69099537227274,Pizza Hut,,West 87th Street,,Elmhurst,66212,,Overland Park,Johnson County,Kansas,KS,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-90.06530709564684,29.953156448093164,0,"237 North Peters Street, New Orleans, LA 70130, United States of America",29.9531968,-90.06537064958997,,237,North Peters Street,,French Quarter,70130,,New Orleans,Orleans Parish,Louisiana,LA,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-90.17028540372849,32.30367246860857,0,"Arby's, High Street, Jackson, MS 39202, United States of America",32.303651,-90.17028484567855,Arby's,,High Street,,,39202,,Jackson,Hinds County,Mississippi,MS,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-86.26622021198273,32.36372102670951,0,"Arby's, Zelda Road, Montgomery, AL 36106, United States of America",32.36372215,-86.26621955294505,Arby's,,Zelda Road,,Grove Hill,36106,,Montgomery,Montgomery County,Alabama,AL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-84.39182013273239,33.74848959409616,0,"Atlanta Public Schools - Headquarters, 130 Trinity Avenue Southwest, Atlanta, GA 30303, United States of America",33.74830855,-84.3921178,Atlanta Public Schools - Headquarters,130,Trinity Avenue Southwest,,South Downtown,30303,,Atlanta,Fulton County,Georgia,GA,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-81.37882970273495,28.538889156990717,0,"Grand Bohemian Hotel Orlando, Autograph Collection, Lymmo, Orlando, FL 32801, United States of America",28.538777500000002,-81.378598912358,"Grand Bohemian Hotel Orlando, Autograph Collection",,Lymmo,,,32801,,Orlando,Orange County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-84.2812417075038,30.412146272188057,0,"McDonald's, South Monroe Street, Tallahassee, FL 32301-6977, United States of America",30.41210405,-84.28124025895511,McDonald's,,South Monroe Street,,,32301-6977,,Tallahassee,Leon County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
